Name	Value	Access	
ustatus	0xdeadbeef	ReadWrite	
uie	0xdeadbeef	ReadWrite	
utvec	0xdeadbeef	ReadWrite	
uscratch	0xdeadbeef	ReadWrite	
uepc	0xdeadbeef	ReadWrite	
ucause	0xdeadbeef	ReadWrite	
utval	0xdeadbeef	ReadWrite	
uip	0xdeadbeef	ReadWrite	
cycle	0x000020fc	ReadOnly	
time	0xdeadbeef	ReadOnly	
instret	0xdeadbeef	ReadOnly	
hpmcounter3	0xdeadbeef	ReadOnly	
hpmcounter4	0xdeadbeef	ReadOnly	
hpmcounter5	0xdeadbeef	ReadOnly	
hpmcounter6	0xdeadbeef	ReadOnly	
hpmcounter7	0xdeadbeef	ReadOnly	
hpmcounter8	0xdeadbeef	ReadOnly	
hpmcounter9	0xdeadbeef	ReadOnly	
hpmcounter10	0xdeadbeef	ReadOnly	
hpmcounter11	0xdeadbeef	ReadOnly	
hpmcounter12	0xdeadbeef	ReadOnly	
hpmcounter13	0xdeadbeef	ReadOnly	
hpmcounter14	0xdeadbeef	ReadOnly	
hpmcounter15	0xdeadbeef	ReadOnly	
hpmcounter16	0xdeadbeef	ReadOnly	
hpmcounter17	0xdeadbeef	ReadOnly	
hpmcounter18	0xdeadbeef	ReadOnly	
hpmcounter19	0xdeadbeef	ReadOnly	
hpmcounter20	0xdeadbeef	ReadOnly	
hpmcounter21	0xdeadbeef	ReadOnly	
hpmcounter22	0xdeadbeef	ReadOnly	
hpmcounter23	0xdeadbeef	ReadOnly	
hpmcounter24	0xdeadbeef	ReadOnly	
hpmcounter25	0xdeadbeef	ReadOnly	
hpmcounter26	0xdeadbeef	ReadOnly	
hpmcounter27	0xdeadbeef	ReadOnly	
hpmcounter28	0xdeadbeef	ReadOnly	
hpmcounter29	0xdeadbeef	ReadOnly	
hpmcounter30	0xdeadbeef	ReadOnly	
hpmcounter31	0xdeadbeef	ReadWrite	
cycleh	0x00000000	ReadOnly	
timeh	0xdeadbeef	ReadOnly	
instreth	0xdeadbeef	ReadOnly	
hpmcounter3h	0xdeadbeef	ReadOnly	
hpmcounter4h	0xdeadbeef	ReadOnly	
hpmcounter5h	0xdeadbeef	ReadOnly	
hpmcounter6h	0xdeadbeef	ReadOnly	
hpmcounter7h	0xdeadbeef	ReadOnly	
hpmcounter8h	0xdeadbeef	ReadOnly	
hpmcounter9h	0xdeadbeef	ReadOnly	
hpmcounter10h	0xdeadbeef	ReadOnly	
hpmcounter11h	0xdeadbeef	ReadOnly	
hpmcounter12h	0xdeadbeef	ReadOnly	
hpmcounter13h	0xdeadbeef	ReadOnly	
hpmcounter14h	0xdeadbeef	ReadOnly	
hpmcounter15h	0xdeadbeef	ReadOnly	
hpmcounter16h	0xdeadbeef	ReadOnly	
hpmcounter17h	0xdeadbeef	ReadOnly	
hpmcounter18h	0xdeadbeef	ReadOnly	
hpmcounter19h	0xdeadbeef	ReadOnly	
hpmcounter20h	0xdeadbeef	ReadOnly	
hpmcounter21h	0xdeadbeef	ReadOnly	
hpmcounter22h	0xdeadbeef	ReadOnly	
hpmcounter23h	0xdeadbeef	ReadOnly	
hpmcounter24h	0xdeadbeef	ReadOnly	
hpmcounter25h	0xdeadbeef	ReadOnly	
hpmcounter26h	0xdeadbeef	ReadOnly	
hpmcounter27h	0xdeadbeef	ReadOnly	
hpmcounter28h	0xdeadbeef	ReadOnly	
hpmcounter29h	0xdeadbeef	ReadOnly	
hpmcounter30h	0xdeadbeef	ReadOnly	
hpmcounter31h	0xdeadbeef	ReadOnly	
sstatus	0xdeadbeef	ReadWrite	
sedeleg	0xdeadbeef	ReadWrite	
sideleg	0xdeadbeef	ReadWrite	
sie	0xdeadbeef	ReadWrite	
stvec	0xdeadbeef	ReadWrite	
scounteren	0xdeadbeef	ReadWrite	
sscratch	0xdeadbeef	ReadWrite	
sepc	0xdeadbeef	ReadWrite	
scause	0xdeadbeef	ReadWrite	
stval	0xdeadbeef	ReadWrite	
sip	0xdeadbeef	ReadWrite	
satp	0xdeadbeef	ReadWrite	
mvendorid	0xdeadbeef	ReadOnly	
marchid	0xdeadbeef	ReadOnly	
mimpid	0xdeadbeef	ReadOnly	
mhartid	0x00000000	ReadOnly	
mstatus	0x00000000	ReadWrite	
misa	0xdeadbeef	ReadWrite	
medeleg	0xdeadbeef	ReadWrite	
mideleg	0xdeadbeef	ReadWrite	
mie	0x00000000	ReadWrite	
mtvec	0x08007300	ReadWrite	
mtvt	0x00000000	ReadWrite	
mscratch	0xdeadbeef	ReadWrite	
mepc	0x00000000	ReadWrite	
mcause	0x00000000	ReadWrite	
mtval	0xdeadbeef	ReadWrite	
mip	0x00000000	ReadOnly	
mnxti	0xdeadbeef	ReadWrite	
mscratchcsw	0xdeadbeef	ReadWrite	
mscratchcswl	0xdeadbeef	ReadWrite	
pmpcfg0	0xdeadbeef	ReadWrite	
pmpcfg1	0xdeadbeef	ReadWrite	
pmpcfg2	0xdeadbeef	ReadWrite	
pmpcfg3	0xdeadbeef	ReadWrite	
pmpaddr0	0xdeadbeef	ReadWrite	
pmpaddr1	0xdeadbeef	ReadWrite	
pmpaddr2	0xdeadbeef	ReadWrite	
pmpaddr3	0xdeadbeef	ReadWrite	
pmpaddr4	0xdeadbeef	ReadWrite	
pmpaddr5	0xdeadbeef	ReadWrite	
pmpaddr6	0xdeadbeef	ReadWrite	
pmpaddr7	0xdeadbeef	ReadWrite	
pmpaddr8	0xdeadbeef	ReadWrite	
pmpaddr9	0xdeadbeef	ReadWrite	
pmpaddr10	0xdeadbeef	ReadWrite	
pmpaddr11	0xdeadbeef	ReadWrite	
pmpaddr12	0xdeadbeef	ReadWrite	
pmpaddr13	0xdeadbeef	ReadWrite	
pmpaddr14	0xdeadbeef	ReadWrite	
pmpaddr15	0xdeadbeef	ReadWrite	
mcycle	0xdeadbeef	ReadWrite	
minstret	0xdeadbeef	ReadWrite	
mhpmcounter3	0xdeadbeef	ReadWrite	
mhpmcounter4	0xdeadbeef	ReadWrite	
mhpmcounter5	0xdeadbeef	ReadWrite	
mhpmcounter6	0xdeadbeef	ReadWrite	
mhpmcounter7	0xdeadbeef	ReadWrite	
mhpmcounter8	0xdeadbeef	ReadWrite	
mhpmcounter9	0xdeadbeef	ReadWrite	
mhpmcounter10	0xdeadbeef	ReadWrite	
mhpmcounter11	0xdeadbeef	ReadWrite	
mhpmcounter12	0xdeadbeef	ReadWrite	
mhpmcounter13	0xdeadbeef	ReadWrite	
mhpmcounter14	0xdeadbeef	ReadWrite	
mhpmcounter15	0xdeadbeef	ReadWrite	
mhpmcounter16	0xdeadbeef	ReadWrite	
mhpmcounter17	0xdeadbeef	ReadWrite	
mhpmcounter18	0xdeadbeef	ReadWrite	
mhpmcounter19	0xdeadbeef	ReadWrite	
mhpmcounter20	0xdeadbeef	ReadWrite	
mhpmcounter21	0xdeadbeef	ReadWrite	
mhpmcounter22	0xdeadbeef	ReadWrite	
mhpmcounter23	0xdeadbeef	ReadWrite	
mhpmcounter24	0xdeadbeef	ReadWrite	
mhpmcounter25	0xdeadbeef	ReadWrite	
mhpmcounter26	0xdeadbeef	ReadWrite	
mhpmcounter27	0xdeadbeef	ReadWrite	
mhpmcounter28	0xdeadbeef	ReadWrite	
mhpmcounter29	0xdeadbeef	ReadWrite	
mhpmcounter30	0xdeadbeef	ReadWrite	
mhpmcounter31	0xdeadbeef	ReadWrite	
mcycleh	0xdeadbeef	ReadWrite	
minstreth	0xdeadbeef	ReadWrite	
mhpmcounter3h	0xdeadbeef	ReadWrite	
mhpmcounter4h	0xdeadbeef	ReadWrite	
mhpmcounter5h	0xdeadbeef	ReadWrite	
mhpmcounter6h	0xdeadbeef	ReadWrite	
mhpmcounter7h	0xdeadbeef	ReadWrite	
mhpmcounter8h	0xdeadbeef	ReadWrite	
mhpmcounter9h	0xdeadbeef	ReadWrite	
mhpmcounter10h	0xdeadbeef	ReadWrite	
mhpmcounter11h	0xdeadbeef	ReadWrite	
mhpmcounter12h	0xdeadbeef	ReadWrite	
mhpmcounter13h	0xdeadbeef	ReadWrite	
mhpmcounter14h	0xdeadbeef	ReadWrite	
mhpmcounter15h	0xdeadbeef	ReadWrite	
mhpmcounter16h	0xdeadbeef	ReadWrite	
mhpmcounter17h	0xdeadbeef	ReadWrite	
mhpmcounter18h	0xdeadbeef	ReadWrite	
mhpmcounter19h	0xdeadbeef	ReadWrite	
mhpmcounter20h	0xdeadbeef	ReadWrite	
mhpmcounter21h	0xdeadbeef	ReadWrite	
mhpmcounter22h	0xdeadbeef	ReadWrite	
mhpmcounter23h	0xdeadbeef	ReadWrite	
mhpmcounter24h	0xdeadbeef	ReadWrite	
mhpmcounter25h	0xdeadbeef	ReadWrite	
mhpmcounter26h	0xdeadbeef	ReadWrite	
mhpmcounter27h	0xdeadbeef	ReadWrite	
mhpmcounter28h	0xdeadbeef	ReadWrite	
mhpmcounter29h	0xdeadbeef	ReadWrite	
mhpmcounter30h	0xdeadbeef	ReadWrite	
mhpmcounter31h	0xdeadbeef	ReadWrite	
mhpmevent3	0xdeadbeef	ReadWrite	
mhpmevent4	0xdeadbeef	ReadWrite	
mhpmevent5	0xdeadbeef	ReadWrite	
mhpmevent6	0xdeadbeef	ReadWrite	
mhpmevent7	0xdeadbeef	ReadWrite	
mhpmevent8	0xdeadbeef	ReadWrite	
mhpmevent9	0xdeadbeef	ReadWrite	
mhpmevent10	0xdeadbeef	ReadWrite	
mhpmevent11	0xdeadbeef	ReadWrite	
mhpmevent12	0xdeadbeef	ReadWrite	
mhpmevent13	0xdeadbeef	ReadWrite	
mhpmevent14	0xdeadbeef	ReadWrite	
mhpmevent15	0xdeadbeef	ReadWrite	
mhpmevent16	0xdeadbeef	ReadWrite	
mhpmevent17	0xdeadbeef	ReadWrite	
mhpmevent18	0xdeadbeef	ReadWrite	
mhpmevent19	0xdeadbeef	ReadWrite	
mhpmevent20	0xdeadbeef	ReadWrite	
mhpmevent21	0xdeadbeef	ReadWrite	
mhpmevent22	0xdeadbeef	ReadWrite	
mhpmevent23	0xdeadbeef	ReadWrite	
mhpmevent24	0xdeadbeef	ReadWrite	
mhpmevent25	0xdeadbeef	ReadWrite	
mhpmevent26	0xdeadbeef	ReadWrite	
mhpmevent27	0xdeadbeef	ReadWrite	
mhpmevent28	0xdeadbeef	ReadWrite	
mhpmevent29	0xdeadbeef	ReadWrite	
mhpmevent30	0xdeadbeef	ReadWrite	
mhpmevent31	0xdeadbeef	ReadWrite	
tselect	0x000000000000000000000000deadbeef	ReadWrite	
tdata1	0x000000000000000000000000deadbeef	ReadWrite	
tdata2	0x000000000000000000000000deadbeef	ReadWrite	
dcsr	0x000000000000000000000000deadbeef	ReadWrite	
dpc	0x000000000000000000000000deadbeef	ReadWrite	
dscratch	0x000000000000000000000000deadbeef	ReadWrite	
